Posted Date,Tran Date,Description,Card,Amount,Balance
7/10/2023,7/8/2023,FRED M FUEL #9482 Q76 BEAVERTON OR,6918,($48.60),"$15,823.79 "
7/10/2023,7/8/2023,THE LOCAL GRILL AND SCOOPCANNON BEACH OR,6918,($128.69),"$15,982.25 "
7/10/2023,7/7/2023,WASHINGTON PARK PARKING PORTLAND OR,6918,($4.00),"$15,378.31 "
7/10/2023,7/7/2023,PORTLAND PARKS PARKING PORTLAND OR,6918,($8.00),"$15,586.86 "
7/10/2023,7/7/2023,FRED-MEYER #0482 BEAVERTON OR,6918,($52.93),"$15,639.79 "
7/10/2023,7/7/2023,PITTOCK MANSION - ECOM PORTLAND OR,8201,($60.00),"$15,699.79 "
7/7/2023,7/7/2023,INTEREST CHARGE-CASH ADVA NCES,6918,($68.49),--
7/7/2023,7/7/2023,INTEREST CHARGE-PURCHASES,6918,($82.69),--
7/10/2023,7/7/2023,TOPGOLF HILLSBORO 027-2 HILLSBORO OR,6918,($200.55),"$15,578.86 "
7/10/2023,7/6/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($4.88),"$15,374.31 "
7/6/2023,7/6/2023,OLO VG 0008 CHC - CEDAR olo.com OR,8201,($17.25),--
7/7/2023,7/6/2023,FRED-MEYER #0482 BEAVERTON OR,8201,($63.51),--
7/6/2023,7/6/2023,NFCU ONLINE CASH ADVANCE VIENNA VA,6918,($600.00),--
7/7/2023,7/5/2023,CHICK-FIL-A #04048 BEAVERTON OR,6918,($14.58),--
7/6/2023,7/4/2023,BARNES & NOBLE #3413 HILLSBORO OR,6918,($36.98),--
7/5/2023,7/4/2023,FRED-MEYER #0482 BEAVERTON OR,6918,($104.27),--
7/3/2023,7/3/2023,WWW.SYMBOLAB.COM HTTPSWWW.SYMB CA,6918,($9.95),--
7/3/2023,7/3/2023,CHEGG ORDER 855-440-1323 CA,6918,($19.95),--
7/4/2023,7/3/2023,NEW SEASONS MARKET BEAVERTON OR,6918,($38.16),--
7/4/2023,7/3/2023,PORTLAND GENERAL ELECTRIC 800-542-8818 OR,6918,($155.26),--
7/3/2023,7/2/2023,Prime Video Channels amzn.com/bill WA,6918,($8.99),--
7/4/2023,7/2/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($17.70),--
7/3/2023,7/1/2023,MOB PAYMENT RECEIVED,6918,"$5,000.00 ",--
7/3/2023,7/1/2023,OLO VG 0008 CHC - CEDAR olo.com OR,8201,($7.60),--
7/3/2023,7/1/2023,IPSY GLAM BAG HELP.IPSY.COM CA,6918,($14.99),--
7/3/2023,7/1/2023,AMZN Mktp US*BD8ZB21S3 Amzn.com/bill WA,8201,($29.19),--
7/3/2023,7/1/2023,PETCO 251 63502512 BEAVERTON OR,8201,($70.98),--
7/3/2023,7/1/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($73.36),--
7/3/2023,7/1/2023,FRED-MEYER #0482 BEAVERTON OR,8201,($260.62),--
7/3/2023,7/1/2023,YSI*Pallas Apartment Home 503-6055000 OR,6918,"($2,710.69)",--
7/3/2023,6/30/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($10.86),--
6/30/2023,6/30/2023,OLO VG 0008 CHC - CEDAR olo.com OR,8201,($17.25),--
7/3/2023,6/30/2023,NEW SEASONS MARKET BEAVERTON OR,6918,($53.13),--
7/3/2023,6/30/2023,FRED M FUEL #9482 Q76 BEAVERTON OR,6918,($100.62),--
7/3/2023,6/29/2023,INTEL RA4 CAFE HILLSBORO OR,6918,($10.54),--
6/30/2023,6/29/2023,KFC C748019 BEAVERTON OR,8201,($14.58),--
6/30/2023,6/29/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($15.73),--
6/30/2023,6/29/2023,CHEWY.COM 800-672-4399 FL,8201,($42.91),--
6/30/2023,6/29/2023,CHEWY.COM 800-672-4399 FL,8201,($75.98),--
6/30/2023,6/29/2023,BNC SERVICES 800-325-3252 MO,6918,($114.98),--
6/30/2023,6/29/2023,TMOBILE*AUTO PAY 800-937-8997 WA,6918,($185.84),--
6/29/2023,6/28/2023,SQ *KAADY CAR WASHES Beaverton OR,6918,($15.00),--
6/30/2023,6/28/2023,IN N OUT BURGER 351 KEIZER OR,6918,($18.55),--
6/29/2023,6/28/2023,PETSMART # 0384 BEAVERTON OR,6918,($40.50),--
6/27/2023,6/26/2023,ODELL SPORTSMAN CENTER CRESCENT LAKE OR,6918,($13.07),--
6/26/2023,6/25/2023,OLO VG 0008 CHC - CEDAR olo.com OR,8201,($5.75),--
6/27/2023,6/25/2023,IN N OUT BURGER 351 KEIZER OR,6918,($16.35),--
6/27/2023,6/25/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($44.43),--
6/27/2023,6/25/2023,ODELL SPORTSMAN CENTER CRESCENT OR,6918,($78.64),--
6/26/2023,6/25/2023,O'REILLY AUTO PARTS 2513 BEAVERTON OR,6918,($91.65),--
6/26/2023,6/25/2023,TRIPLE 7 STATION BEAVERTON OR,6918,($99.34),--
6/26/2023,6/25/2023,TARGET 00021105 KEIZER OR,6918,($234.04),--
6/26/2023,6/24/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($7.24),--
6/26/2023,6/24/2023,KFC C748019 BEAVERTON OR,6918,($14.08),--
6/26/2023,6/24/2023,THE HOME DEPOT #4001 PORTLAND OR,6918,($23.55),--
6/26/2023,6/24/2023,BEST BUY 00004515 BEAVERTON OR,6918,($229.98),--
6/26/2023,6/24/2023,"CAB STORE TUALATIN, OR TUALATIN OR",6918,($414.71),--
6/23/2023,6/23/2023,ATM CASH ADVANCE FEE,6918,($0.50),--
6/26/2023,6/23/2023,SQ *HABITAT FOR HUMANITY Beaverton OR,6918,($2.75),--
6/26/2023,6/23/2023,NEW SEASONS MARKET BEAVERTON OR,6918,($15.59),--
6/26/2023,6/23/2023,MIO SUSHI BEAVERTON BEAVERTON OR,6918,($52.00),--
6/23/2023,6/23/2023,AMZN Mktp US*M76IN28H3 Amzn.com/bill WA,6918,($65.96),--
6/26/2023,6/23/2023,GEICO *AUTO 800-841-3000 DC,6918,($121.70),--
6/23/2023,6/22/2023,14641 SW MILLIKAN W BEAVERTON OR,6918,$103.50 ,--
6/26/2023,6/22/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($3.95),--
6/23/2023,6/22/2023,AMZN Mktp US*OL3PF7YG3 Amzn.com/bill WA,8201,($7.99),--
6/26/2023,6/22/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($10.86),--
6/23/2023,6/22/2023,AMZN Mktp US*PM8CP93L3 Amzn.com/bill WA,8201,($11.99),--
6/22/2023,6/22/2023,AMZN MKTP US*ES65C58I3 AM AMZN.COM/BILL WA,8201,($21.59),--
6/22/2023,6/22/2023,AMZN Mktp US*PD5L55TB3 Amzn.com/bill WA,6918,($25.94),--
6/23/2023,6/22/2023,AMZN Mktp US*1L0YO70I3 Amzn.com/bill WA,8201,($31.92),--
6/23/2023,6/22/2023,AMZN Mktp US*XC6SS2A43 Amzn.com/bill WA,8201,($36.25),--
6/23/2023,6/22/2023,14641 SW MILLIKAN W BEAVERTON OR,6918,($103.50),--
6/22/2023,6/22/2023,AMZN Mktp US*HU2YC1M93 Amzn.com/bill WA,6918,($117.35),--
6/23/2023,6/22/2023,AMZN Mktp US*338H02VF3 Amzn.com/bill WA,6918,($167.99),--
6/22/2023,6/21/2023,FEDEX OFFIC59000059022 BEAVERTON OR,6918,($0.69),--
6/21/2023,6/21/2023,OLO VG 0008 CHC - CEDAR olo.com OR,8201,($5.75),--
6/22/2023,6/21/2023,CHEVRON 0091598 ALOHA OR,6918,($13.35),--
6/22/2023,6/21/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($21.27),--
6/22/2023,6/21/2023,DOLLAR TREE BEAVERTON OR,6918,($28.75),--
6/22/2023,6/21/2023,AMZN Mktp US*S96NC5SU3 Amzn.com/bill WA,8201,($74.32),--
6/23/2023,6/21/2023,THE HOME DEPOT #4001 PORTLAND OR,6918,($126.23),--
6/22/2023,6/21/2023,AMAZON.COM*3K32C5813 AMZN AMZN.COM/BILL WA,6918,($139.98),--
6/23/2023,6/21/2023,ODOT DMV 503 945 5000 PORTLAND OR,6918,($255.25),--
6/21/2023,6/20/2023,KFC C748019 BEAVERTON OR,6918,($14.08),--
6/21/2023,6/20/2023,AMZN Mktp US*3860M0103 Amzn.com/bill WA,6918,($19.99),--
6/21/2023,6/20/2023,RED ROBIN NO 41 BEAVERTON OR,8201,($51.00),--
6/22/2023,6/20/2023,REI #89 HILLSBORO HILLSBORO OR,6918,($55.40),--
6/21/2023,6/20/2023,AMZN Mktp US*MX88B0CP3 Amzn.com/bill WA,6918,($101.63),--
6/22/2023,6/20/2023,AUTOZONE #3705 PORTLAND OR,6918,($160.94),--
6/21/2023,6/20/2023,TARGET 00009100 BEAVERTON OR,6918,($468.43),--
6/21/2023,6/19/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($3.95),--
6/20/2023,6/19/2023,NEW SEASONS MARKET PORTLAND OR,6918,($12.94),--
6/20/2023,6/19/2023,AMZN MKTP US*C30DG0NI3 AM AMZN.COM/BILL WA,6918,($73.96),--
6/20/2023,6/19/2023,AMZN MKTP US*NR44D8U13 AM AMZN.COM/BILL WA,6918,($143.77),--
6/20/2023,6/19/2023,SAFEFIRE INDOOR RANGE CAMAS WA,6918,($154.02),--
6/20/2023,6/18/2023,FRED-MEYER #0482 BEAVERTON OR,6918,($7.99),--
6/19/2023,6/18/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($8.13),--
6/19/2023,6/18/2023,FRED-MEYER #0482 BEAVERTON OR,8201,($9.77),--
6/19/2023,6/18/2023,SESAME DONUTS ALOHA BEAVERTON OR,6918,($11.75),--
6/20/2023,6/18/2023,THE HOME DEPOT #4001 PORTLAND OR,6918,($26.95),--
6/19/2023,6/18/2023,AMZN Mktp US*ED0CJ21C3 Amzn.com/bill WA,8201,($39.98),--
6/20/2023,6/18/2023,FRANK'S NOODLE HOUSE. BEAVERTON OR,6918,($57.82),--
6/19/2023,6/18/2023,FRED M FUEL #9482 Q76 BEAVERTON OR,6918,($71.70),--
6/19/2023,6/18/2023,FRED-MEYER #0482 BEAVERTON OR,8201,($303.44),--
6/19/2023,6/17/2023,OLO VG 0008 CHC - CEDAR olo.com OR,8201,($8.25),--
6/19/2023,6/17/2023,CHEVRON 0203375 CEDAR MILL OR,6918,($15.00),--
6/19/2023,6/17/2023,THE HOME DEPOT #4001 PORTLAND OR,6918,($17.77),--
6/19/2023,6/17/2023,THE HOME DEPOT 4001 PORTLAND OR,6918,($84.48),--
6/16/2023,6/16/2023,MOB PAYMENT RECEIVED,6918,"$3,000.00 ",--
6/19/2023,6/16/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($2.89),--
6/21/2023,6/16/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($5.78),--
6/19/2023,6/16/2023,NEW SEASONS MARKET BEAVERTON OR,6918,($20.08),--
6/19/2023,6/16/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($78.91),--
6/19/2023,6/16/2023,THE HOME DEPOT 4001 PORTLAND OR,6918,($87.56),--
6/16/2023,6/15/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($4.88),--
6/16/2023,6/15/2023,AMZN Mktp US*7T9HO1BC3 Amzn.com/bill WA,6918,($119.98),--
6/16/2023,6/14/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($6.64),--
6/15/2023,6/14/2023,AMZN MKTP US*PE7AY5LP3 AM AMZN.COM/BILL WA,6918,($67.98),--
6/16/2023,6/14/2023,THE HOME DEPOT 4001 PORTLAND OR,6918,($93.91),--
6/16/2023,6/14/2023,FRED-MEYER #0482 BEAVERTON OR,6918,($99.38),--
6/15/2023,6/13/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($3.95),--
6/15/2023,6/13/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($5.87),--
6/15/2023,6/13/2023,THE HOME DEPOT #4001 PORTLAND OR,6918,($184.42),--
6/14/2023,6/12/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($6.58),--
6/14/2023,6/12/2023,AUTOZONE #3705 PORTLAND OR,6918,($6.99),--
6/12/2023,6/12/2023,OLO VG 0008 CHC - CEDAR olo.com OR,8201,($8.25),--
6/13/2023,6/12/2023,AMZN Mktp US*AU7C92HD3 Amzn.com/bill WA,6918,($29.69),--
6/13/2023,6/12/2023,AMZN Mktp US*YT2BU60P3 Amzn.com/bill WA,6918,($41.79),--
6/13/2023,6/12/2023,AMZN Mktp US*AM02J33L3 Amzn.com/bill WA,6918,($55.98),--
6/14/2023,6/12/2023,THE HOME DEPOT #4001 PORTLAND OR,6918,($111.24),--
6/13/2023,6/12/2023,AMZN Mktp US*RC22O73X3 Amzn.com/bill WA,6918,($209.99),--
6/12/2023,6/11/2023,CVS CarePass 800-746-7287 RI,8201,($5.00),--
6/12/2023,6/11/2023,AMAZON.COM*1229C6A03 AMZN AMZN.COM/BILL WA,8201,($8.99),--
6/12/2023,6/11/2023,SPOTIFY 877-778-1161 NY,6918,($9.99),--
6/12/2023,6/11/2023,KFC C748019 BEAVERTON OR,6918,($14.08),--
6/12/2023,6/11/2023,Amazon Prime*MS5R38CY3 Amzn.com/bill WA,6918,($14.99),--
6/12/2023,6/11/2023,AMZN Mktp US*7H66O7H53 Amzn.com/bill WA,8201,($29.99),--
6/12/2023,6/11/2023,AMZN MKTP US*BX6NG99U3 AM AMZN.COM/BILL WA,8201,($34.55),--
6/12/2023,6/11/2023,AMZN Mktp US*CC6ML1TD3 Amzn.com/bill WA,6918,($38.99),--
6/12/2023,6/11/2023,AMZN Mktp US*KI1S03O53 Amzn.com/bill WA,6918,($60.79),--
6/13/2023,6/11/2023,THE HOME DEPOT 4001 PORTLAND OR,6918,($402.39),--
6/12/2023,6/10/2023,SQ *HABITAT FOR HUMANITY Beaverton OR,6918,($20.00),--
6/12/2023,6/10/2023,THE HOME DEPOT #4001 PORTLAND OR,6918,($35.96),--
6/12/2023,6/10/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($56.28),--
6/12/2023,6/10/2023,THE HOME DEPOT 4001 PORTLAND OR,6918,($336.75),--
6/12/2023,6/9/2023,76 - SEI 35335 BEAVERTON OR,8201,($7.24),--
